label,mode,nqubits,len,dc_frac,entropy_bits,peak_index
π,terms,8,256,0.1013153994060444,3.1182016220499644,256
π,egf,8,256,0.32928286368578474,2.2680291968232575,0
e,terms,8,256,0.33162190674682374,2.2557119224631705,0
e,egf,8,256,0.3299109035730226,2.2642257700655195,0
ln(2),terms,8,256,0.0263723032620515,2.6251245239071315,256
ln(2),egf,8,256,0.33179190885741494,2.2551030158078524,0
ζ(2),terms,8,256,0.32747983034250105,2.2728971655062495,0
ζ(2),egf,8,256,0.3311331619037116,2.2577773489940203,0
ζ(3),terms,8,256,0.3316475878652823,2.2557397077381363,0
ζ(3),egf,8,256,0.3314881025714641,2.256236504993839,0
γ,terms,8,256,0.2837709063788575,2.4483087944662247,0
γ,egf,8,256,0.33184560235276717,2.2549270353991897,0
Catalan,terms,8,256,0.33200976624724154,2.255790475786684,0
Catalan,egf,8,256,0.3316724263513858,2.255523596120649,0
φ,terms,8,256,0.3306414499056548,2.259337031682941,0
φ,egf,8,256,0.33115716166362374,2.2576672071770254,0
J0,terms,8,256,0.3322241044541539,2.2546074358128037,0
J0,egf,8,256,0.3321425973963235,2.25427140665644,0
"Li(2,0.5)",terms,8,256,0.3319631691938918,2.25457575793792,0
"Li(2,0.5)",egf,8,256,0.33184359756984855,2.25493344334883,0
"polylog(3, 0.5)",terms,8,256,0.33200644201411617,2.254462924813885,0
"polylog(3, 0.5)",egf,8,256,0.33186311502916815,2.254871625152019,0
Maclaurin[sin(x)],terms,8,256,0.3314998958147916,2.2560869064974858,0
Maclaurin[sin(x)],egf,8,256,0.3314998958147916,2.2560869064974858,0
Maclaurin[log(1+x)],terms,8,256,0.33125864703215346,2.257069853211881,0
Maclaurin[log(1+x)],egf,8,256,0.33125864703215346,2.257069853211881,0
Maclaurin[exp(x^2); r=0.7],terms,8,256,0.32788628247835605,2.2731278373757675,0
Maclaurin[exp(x^2); r=0.7],egf,8,256,0.32788628247835605,2.2731278373757675,0
